Month,Germany_News_Index,Search_Index_v3,DAX_Volatility
2010-01,105.57108427115573,10.307692307692308,0.0107039664020676
2010-02,121.43700721669111,9.384615384615385,0.0111108972743889
2010-03,116.47019690925322,10.307692307692308,0.0070943179456575
2010-04,153.83554692754657,9.692307692307692,0.0116575546704459
2010-05,156.3809576278984,20.0,0.0217828513980621
2010-06,143.1194668427787,9.923076923076923,0.0124952218612009
2010-07,193.8954319811794,9.615384615384615,0.0109681117991177
2010-08,146.92627324532936,7.6923076923076925,0.0107753916994068
2010-09,111.59323887873222,8.76923076923077,0.008868520357161
2010-10,116.3797590966814,8.846153846153847,0.0073068991590802
2010-11,137.21381824957714,10.0,0.0110611775151636
2010-12,179.41429972841618,8.076923076923077,0.0082702369340968
2011-01,140.9458415604839,8.076923076923077,0.007964520029687
2011-02,93.27111359654027,8.076923076923077,0.0077554773135869
2011-03,123.78567873907862,8.0,0.0131436858997361
2011-04,80.16926761768643,7.384615384615385,0.0110236218813991
2011-05,93.21103606179916,7.923076923076923,0.0105011186684206
2011-06,172.59468328313437,7.615384615384615,0.0111898760300156
2011-07,184.0123037543516,12.615384615384615,0.0093525112413818
2011-08,280.61475107957574,11.076923076923077,0.0270536449188164
2011-09,377.8437925525178,9.76923076923077,0.0306113020780919
2011-10,217.81926791486825,12.692307692307692,0.0245274725860815
2011-11,327.94839273539174,10.076923076923077,0.0247373676917722
2011-12,203.20614372825028,9.153846153846153,0.0150173990166539
2012-01,193.76167484396305,9.076923076923077,0.0111403847376635
2012-02,127.25827416801424,8.0,0.009240546642943
2012-03,112.18205637764385,8.615384615384615,0.0130286202863176
2012-04,139.84863858367368,7.3076923076923075,0.0172170761543492
2012-05,169.59648362044646,8.76923076923077,0.0115258666705758
2012-06,202.49005798798208,7.6923076923076925,0.0162415946244953
2012-07,237.98155768545192,8.384615384615385,0.013997731267969
2012-08,161.60618317081793,7.769230769230769,0.0118892070153539
2012-09,227.42259309828628,9.076923076923077,0.0105711995289324
2012-10,174.702714703869,10.76923076923077,0.0092856974886478
2012-11,214.8198100053125,11.0,0.0094022552934795
2012-12,170.51522360275126,6.538461538461538,0.0043351638826002
2013-01,198.8841834552805,8.076923076923077,0.0069181451528899
2013-02,152.42018881409973,11.384615384615385,0.0120382539353427
2013-03,201.0030362265356,7.384615384615385,0.0076965030960312
2013-04,131.46474359802284,7.923076923076923,0.0127760179396014
2013-05,65.21712770107307,8.461538461538462,0.0090403676072401
2013-06,126.3947243789252,7.384615384615385,0.0129048761518631
2013-07,160.84449469798662,7.230769230769231,0.0100718965417885
2013-08,131.17686342981582,6.538461538461538,0.008804748596195
2013-09,130.39103635792767,7.230769230769231,0.0070936527254626
2013-10,209.0070587822358,7.923076923076923,0.0062782677945058
2013-11,110.15918955687236,8.076923076923077,0.0040086318378225
2013-12,166.10237663397382,6.769230769230769,0.010100364865857
2014-01,106.18580221471716,10.76923076923077,0.0091316859077763
2014-02,134.5987228537432,8.307692307692308,0.0078430950897062
2014-03,130.77835606258907,8.23076923076923,0.0142280898296907
2014-04,93.58222856563692,10.76923076923077,0.0109601635417988
2014-05,129.2179973686516,11.615384615384615,0.0059118462434781
2014-06,70.29832422875486,12.923076923076923,0.0040449412826937
2014-07,105.1963540077938,7.076923076923077,0.0099767848827967
2014-08,142.9677892918687,7.6923076923076925,0.0114168734061857
2014-09,177.00502983212075,9.692307692307692,0.0075508616589449
2014-10,150.6270036175671,10.23076923076923,0.015362219614856
2014-11,109.45727696826468,10.384615384615385,0.0096756705860484
2014-12,152.4196210054672,8.846153846153847,0.0156975530363904
2015-01,201.2724674945196,13.076923076923077,0.0150176026617049
2015-02,161.2988287505761,11.846153846153847,0.0071398432763169
2015-03,80.55538447692216,10.538461538461538,0.0114470046043394
2015-04,105.49147653852008,11.153846153846153,0.014585187680656
2015-05,113.3971945758986,8.846153846153847,0.0150746735152404
2015-06,212.8246818215994,11.615384615384615,0.0150354974239579
